epoch,accuracy,loss,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_top_k_categorical_accuracy
0,0.045180853456258774,3.4241573810577393,0.12774528563022614,0.04463937506079674,3.3784775733947754,0.13879142701625824
1,0.06352610141038895,3.372515916824341,0.16337448358535767,0.08966861665248871,3.430868625640869,0.18460038304328918
2,0.07355425506830215,3.347639799118042,0.17920728027820587,0.07504872977733612,3.3221559524536133,0.18752436339855194
3,0.07779943943023682,3.324761390686035,0.1879575550556183,0.08226121217012405,3.4033048152923584,0.16725146770477295
4,0.08057180047035217,3.3146960735321045,0.19283084571361542,0.09610136598348618,3.287428379058838,0.2064327448606491
5,0.09040502458810806,3.2978434562683105,0.2022525519132614,0.08343079686164856,3.2895562648773193,0.202923983335495
6,0.08975525200366974,3.2900094985961914,0.20836040377616882,0.10565301775932312,3.263272523880005,0.2187134474515915
7,0.09296079725027084,3.2782180309295654,0.21043968200683594,0.0849902555346489,3.2819337844848633,0.20448343455791473
8,0.09235434234142303,3.275629758834839,0.2119341492652893,0.08986354619264603,3.27388596534729,0.2064327448606491
9,0.09233268350362778,3.271573543548584,0.21628762781620026,0.10370370000600815,3.254546642303467,0.22183236479759216
10,0.09798570722341537,3.2644107341766357,0.22053281962871552,0.09707602113485336,3.2576940059661865,0.21228070557117462
11,0.09651288390159607,3.2633209228515625,0.22092267870903015,0.08284600079059601,3.31305193901062,0.19317738711833954
12,0.09521333873271942,3.260969400405884,0.22083604335784912,0.08343079686164856,3.281136989593506,0.20779727399349213
13,0.10099631547927856,3.2492191791534424,0.2262508124113083,0.10604288429021835,3.232177495956421,0.22709551453590393
14,0.10158111155033112,3.249084234237671,0.22718214988708496,0.09551656991243362,3.2556118965148926,0.21734893321990967
15,0.10400693118572235,3.246645927429199,0.23066926002502441,0.10701754689216614,3.2576560974121094,0.2222222238779068
16,0.10422351956367493,3.2406086921691895,0.2325102835893631,0.0998050719499588,3.2559609413146973,0.22690057754516602
17,0.10667099803686142,3.233222723007202,0.2359757423400879,0.10253411531448364,3.272437334060669,0.22826510667800903
18,0.10463504493236542,3.236794948577881,0.23376651108264923,0.09824561327695847,3.381951332092285,0.1951267123222351
19,0.10584795475006104,3.2315292358398438,0.23391813039779663,0.10857699811458588,3.26503324508667,0.22982455790042877
20,0.10534979403018951,3.2325856685638428,0.23578080534934998,0.10643275082111359,3.273284435272217,0.223196879029274
21,0.11000649631023407,3.2244083881378174,0.23840156197547913,0.09707602113485336,3.3041799068450928,0.20896686613559723
22,0.10708252340555191,3.227672815322876,0.23809833824634552,0.09883040934801102,3.2764508724212646,0.2153996080160141
23,0.10745072364807129,3.2248454093933105,0.23757851123809814,0.11345028877258301,3.213493585586548,0.24658869206905365
24,0.10862031579017639,3.226001024246216,0.23970110714435577,0.11481481790542603,3.259909152984619,0.23060429096221924
25,0.10784059017896652,3.2214977741241455,0.24186700582504272,0.10974659025669098,3.2349441051483154,0.23450292646884918
26,0.11124106496572495,3.2150561809539795,0.2439679503440857,0.11052631586790085,3.239833116531372,0.23489278554916382
27,0.1095299944281578,3.2187578678131104,0.2426467388868332,0.09142300486564636,3.2601547241210938,0.21929824352264404
28,0.11115442961454391,3.2118139266967773,0.24665367603302002,0.11247563362121582,3.2281553745269775,0.24074074625968933
29,0.11403508484363556,3.2074456214904785,0.2480831742286682,0.11481481790542603,3.2075254917144775,0.24678362905979156
30,0.11236733943223953,3.2090811729431152,0.24591726064682007,0.09259258955717087,3.2540030479431152,0.2163742631673813
31,0.11639592796564102,3.2054994106292725,0.24916613101959229,0.11403508484363556,3.218283176422119,0.246198832988739
32,0.11256226897239685,3.206480026245117,0.24884124100208282,0.11052631586790085,3.243065357208252,0.24132554233074188
33,0.11247563362121582,3.2087979316711426,0.24959930777549744,0.10955165326595306,3.252678394317627,0.2278752475976944
34,0.11366688460111618,3.2046968936920166,0.2486463040113449,0.12027290463447571,3.233593702316284,0.2460038959980011
35,0.11195581406354904,3.2070658206939697,0.24910114705562592,0.11150097101926804,3.2176389694213867,0.24015595018863678
36,0.11423002183437347,3.1995747089385986,0.2510937750339508,0.11345028877258301,3.2214818000793457,0.24093566834926605
37,0.11713233590126038,3.199090003967285,0.2509855031967163,0.11929824203252792,3.2001359462738037,0.24230019748210907
38,0.11680745333433151,3.195807695388794,0.25219839811325073,0.11871345341205597,3.197553873062134,0.25789472460746765
39,0.11384015530347824,3.196593999862671,0.25141867995262146,0.1122807040810585,3.212144136428833,0.235867440700531
40,0.11461988091468811,3.1983015537261963,0.2508772015571594,0.1259259283542633,3.1907169818878174,0.2576998174190521
41,0.11611436307430267,3.190359592437744,0.25416937470436096,0.11267056316137314,3.237527847290039,0.24113060534000397
42,0.11685077100992203,3.1914801597595215,0.2575698494911194,0.1179337203502655,3.240387439727783,0.2528265118598938
43,0.11925492435693741,3.1837949752807617,0.2613385319709778,0.1191033124923706,3.1954290866851807,0.25009745359420776
44,0.1201212927699089,3.1850106716156006,0.25549057126045227,0.11929824203252792,3.2387499809265137,0.2382066249847412
