Model,N,Class,Result
InceptionResnetV2,2,27,0.257894737
InceptionResnetV2,2,28,0.694736842
InceptionResnetV2,2,29,0.573684211
ResneXt50,2,Total,0.189122807
ResneXt50,2,0,0.089473684
ResneXt50,2,1,0.452631579
ResneXt50,2,2,0.021052632
ResneXt50,2,3,0.215789474
ResneXt50,2,4,0.289473684
ResneXt50,2,5,0.568421053
ResneXt50,2,6,0.231578947
ResneXt50,2,7,0.152631579
ResneXt50,2,8,0.084210526
ResneXt50,2,9,0.005263158
ResneXt50,2,10,0.168421053
ResneXt50,2,11,0.115789474
ResneXt50,2,12,0.010526316
ResneXt50,2,13,0.005263158
ResneXt50,2,14,0.368421053
ResneXt50,2,15,0.015789474
ResneXt50,2,16,0.268421053
ResneXt50,2,17,0.278947368
ResneXt50,2,18,0.163157895
ResneXt50,2,19,0.057894737
ResneXt50,2,20,0.089473684
ResneXt50,2,21,0
ResneXt50,2,22,0.405263158
ResneXt50,2,23,0.005263158
ResneXt50,2,24,0.336842105
ResneXt50,2,25,0.357894737
ResneXt50,2,26,0.021052632
ResneXt50,2,27,0
ResneXt50,2,28,0.584210526
ResneXt50,2,29,0.310526316
MobileNetV2,3,Total,0.299649123
MobileNetV2,3,0,0.278947368
MobileNetV2,3,1,0.305263158
MobileNetV2,3,2,0.184210526
MobileNetV2,3,3,0.257894737
MobileNetV2,3,4,0.521052632
MobileNetV2,3,5,0.568421053
MobileNetV2,3,6,0.436842105
MobileNetV2,3,7,0.421052632
MobileNetV2,3,8,0.305263158
MobileNetV2,3,9,0.121052632
MobileNetV2,3,10,0.321052632
MobileNetV2,3,11,0.178947368
MobileNetV2,3,12,0.215789474
MobileNetV2,3,13,0.073684211
MobileNetV2,3,14,0.273684211
MobileNetV2,3,15,0.247368421
MobileNetV2,3,16,0.273684211
MobileNetV2,3,17,0.289473684
MobileNetV2,3,18,0.436842105
MobileNetV2,3,19,0.557894737
MobileNetV2,3,20,0.215789474
MobileNetV2,3,21,0.263157895
MobileNetV2,3,22,0.521052632
MobileNetV2,3,23,0.163157895
MobileNetV2,3,24,0.421052632
MobileNetV2,3,25,0.178947368
